driver_age,driver_prev_5_top10_rate,driver_prev_5_dnf_rate,driver_prev_5_avg_position,driver_career_races,driver_career_top10_rate,driver_career_points_per_race,constructor_prev_5_top10_rate,constructor_prev_5_dnf_rate,constructor_season_top10_rate,circuit_avg_dnf_rate,circuit_position_volatility,driver_circuit_top10_rate,driver_constructor_races,driver_constructor_top10_rate,grid_position_numeric,grid_percentile,front_row_start,top5_start,top10_start,max_position_gain,num_competitors,driver_top10_streak,driver_points_last3,driver_position_trend,driver_avg_pit_stops,constructor_avg_pit_time,championship_points,championship_position,in_championship_contention,points_gap_to_leader,circuit_avg_top10_rate,high_altitude_circuit,grid,era_encoded,driverRef_encoded,constructorRef_encoded,circuitRef_encoded,nationality_encoded,nationality_constructor_encoded,country_encoded,season_early,season_end,season_late,season_mid
22.064339493497606,0.3333333333333333,0.3333333333333333,14.333333333333334,3,0.3333333333333333,1.3333333333333333,0.6,0.0,0.42857142857142855,0.2357142857142857,5.916184014977479,0.5,3,0.3333333333333333,10,0.6,0,0,1,9,20,1,4.0,0.0,1.6666666666666667,16379.422823721436,4.0,13.0,0,65.0,0.5,0,10,2,619,131,8,5,5,3,True,False,False,False
22.04791238877481,0.4,0.2,12.6,28,0.35714285714285715,1.5357142857142858,0.2,0.2,0.38461538461538464,0.5564466378778532,7.610389430300389,0.0,28,0.35714285714285715,11,0.55,0,0,0,10,20,1,7.0,-2.9333333333333336,1.7857142857142858,129490.06501831501,11.0,11.0,0,99.0,0.4244293645897594,0,11,2,800,4,42,26,14,18,True,False,False,False
23.808350444900753,0.6,0.2,11.0,66,0.25757575757575757,0.8787878787878788,0.0,0.0,0.0,0.1926605504587156,6.13357028023478,0.6666666666666666,0,0.5,11,0.55,0,0,0,10,20,1,6.0,0.6666666666666661,2.015151515151515,24922.0,0.0,25.0,0,0.0,0.4793577981651376,0,11,2,800,162,7,26,14,4,True,False,False,False
26.729637234770706,1.0,0.0,2.2,194,0.8092783505154639,13.873711340206185,0.6,0.4,0.8421052631578947,0.31769436997319034,6.901340652215335,0.7777777777777778,171,0.8421052631578947,2,0.15,1,1,1,1,20,6,58.0,0.46666666666666634,2.082474226804124,42873.523122529645,194.0,1.0,1,0.0,0.4450402144772118,0,2,2,521,165,13,16,2,27,False,False,False,True
31.964407939767284,0.2,0.0,13.8,180,0.2611111111111111,1.0444444444444445,0.6,0.0,0.2857142857142857,0.24013157894736842,6.226037963528118,0.42857142857142855,139,0.23741007194244604,14,0.7,0,0,0,13,20,1,1.0,0.1999999999999993,1.7722222222222221,73293.16725703905,6.0,17.0,0,307.0,0.47368421052631576,0,14,2,427,79,40,15,0,25,False,False,True,False
24.813141683778234,1.0,0.0,2.8,152,0.7631578947368421,11.463815789473685,0.8,0.2,0.782608695652174,0.4444444444444444,8.596931014192819,1.0,129,0.7984496124031008,2,0.1,1,1,1,1,20,8,50.0,0.5333333333333337,1.7763157894736843,34950.10320987654,208.0,1.0,1,0.0,0.3717948717948718,0,2,2,521,165,57,16,2,9,False,False,False,True
37.84804928131417,1.0,0.0,4.6,308,0.8766233766233766,14.215909090909092,1.0,0.0,0.9,0.38198403648802737,7.246791492914967,0.8571428571428571,198,0.9343434343434344,2,0.15,1,1,1,1,20,6,46.0,-1.5999999999999996,1.5162337662337662,51305.245323741,216.0,5.0,1,200.0,0.43329532497149376,1,2,2,345,136,28,9,10,6,False,False,True,False
25.05681040383299,0.4,0.4,11.6,142,0.36619718309859156,1.767605633802817,0.6,0.4,0.6829268292682927,0.1,6.165315167216605,0.5,64,0.421875,19,0.95,0,0,0,18,20,1,16.0,-1.9333333333333336,1.7605633802816902,120186.82676870748,63.0,10.0,0,461.0,0.6,1,19,2,758,11,69,10,5,34,False,False,True,False
30.00958247775496,0.0,0.0,15.0,137,0.291970802919708,1.2919708029197081,0.0,0.0,0.20588235294117646,0.35278154681139756,7.596700990371604,0.2,96,0.2708333333333333,18,0.9,0,0,0,17,20,0,0.0,-0.6666666666666661,1.7737226277372262,70572.46169064748,22.0,14.0,0,319.0,0.4260515603799186,0,18,2,427,79,66,15,0,14,False,False,True,False
23.926078028747433,0.4,0.2,12.0,116,0.33620689655172414,1.5603448275862069,0.4,0.4,0.36363636363636365,0.23880597014925373,6.299371489854977,0.3333333333333333,38,0.3684210526315789,11,0.6,0,0,0,10,20,0,1.0,1.0,1.706896551724138,115247.4643939394,5.0,18.0,0,330.0,0.4701492537313433,0,11,2,758,11,40,10,5,25,False,False,True,False
26.39561943874059,0.8,0.2,6.2,126,0.7301587301587301,8.317460317460318,0.8,0.2,1.0,0.22535211267605634,5.895194646448674,1.0,105,0.780952380952381,2,0.1,1,1,1,1,20,3,48.0,-3.5333333333333337,1.626984126984127,13302.308155731997,12.0,4.0,1,14.0,0.49295774647887325,0,2,2,463,69,32,30,14,24,True,False,False,False
32.27926078028747,0.6,0.4,8.2,219,0.6164383561643836,4.310502283105023,0.8,0.2,0.625,0.3333333333333333,5.507570547286102,0.5,26,0.7307692307692307,4,0.3,0,1,1,3,20,3,48.0,-5.533333333333333,1.8538812785388128,31405.378914141413,54.0,3.0,1,32.0,0.3333333333333333,0,4,2,609,165,41,29,2,33,True,False,False,False
42.92128678986995,0.4,0.0,11.4,390,0.676923076923077,5.897435897435898,0.4,0.0,0.55,0.4308390022675737,7.354875902511038,0.5454545454545454,32,0.8125,15,0.75,0,0,0,14,20,0,8.0,-1.7333333333333343,1.1564102564102565,131440.24436167104,41.0,9.0,0,178.0,0.42063492063492064,1,15,2,20,11,55,37,5,2,False,False,False,True
